iter	AUC	Logloss
272	0.8494966436	0.482267956
273	0.8496618239	0.4820540053
274	0.849734726	0.4819580132
275	0.8498876445	0.4817682047
276	0.8500738848	0.4815314001
277	0.8502999124	0.4812797652
278	0.8505455152	0.4809976937
279	0.8505790839	0.4809501492
280	0.8506717682	0.4808672811
281	0.8507688476	0.4807808848
282	0.8509535632	0.4805986342
283	0.8511305594	0.4803841355
284	0.851165844	0.4803569354
285	0.8513587806	0.4801413592
286	0.85157894	0.4799397476
287	0.8516987396	0.4797799748
288	0.8518675905	0.4795651823
289	0.8518997858	0.4795319108
290	0.8520240402	0.4793900299
291	0.8520590103	0.4793299518
292	0.8521348903	0.4792647558
293	0.8524549119	0.4789995788
294	0.8526065803	0.4788413897
295	0.8528031238	0.47858003829296	0.85291352	0.4784262631
297	0.8530818414	0.4782522983
298	0.8532441633	0.47805910242299	0.8534140891	0.47782561173300	0.8534276447	0.47780461473301	0.8534978357	0.47771655973302	0.85366175	0.4775381636
303	0.8539662254	0.4772817101
304	0.854020902	0.4772215498
305	0.8541211185	0.4771110167
306	0.8542495611	0.47696758783307	0.8543677364	0.47682649830308	0.8546493324	0.47652940430309	0.8546896849	0.47648728310310	0.8549895661	0.4761852311	311	0.8550051999	0.4761720312	312	0.8551084779	0.4760343313	313	0.8552315779	0.47585314	0.314	0.8553141262	0.47575315	0.315	0.8554439702	0.47558316	0.316	0.8556211495	0.47534317	0317	0.8557938342	0.475094318	0318	0.8558811559	0.474981319	0319	0.8559928978	0.474868320320	0.8560564562	0.47477985321321	0.8561235658	0.47468136322322	0.8562796134	0.47450611323323	0.856322912	0.47440284132324	0.8564940241	0.47421432732325	0.8566439647	0.47405977432326	0.8568439798	0.47387668732327	0.8570702582	0.47366256432328	0.857342602	0.47342039032329	0.8575111344	0.47327934633330	0.8575515706	0.4732288233331	0.8575915728	0.47315708383332	0.8576287484	0.47310528213333	0.8577943507	0.47289475633334	0.8578588327	0.47279264033335	0.8579413373	0.47267980133336	0.8580157801	0.4725837583337	0.8581530488	0.47243520473338	0.858181458	0.4724036352
339	0.85819747	0.4723872746
340	0.8583283491	0.4722188706
341	0.8583710943	0.4721747476
342	0.8585196773	0.4720174193
343	0.858579175	0.4719398791
344	0.8586401298	0.47184900923345	0.858703955	0.4717590159
346	0.858793319	0.4716579693
347	0.8589499598	0.4714340233
348	0.8590520912	0.4712557602
349	0.8590690627	0.4712097603
350	0.8591426098	0.47109363943351	0.8591783681	0.47105450135352	0.8593776068	0.47081984235353	0.8594229397	0.47072830535354	0.8596659945	0.47051024735355	0.8598883237	0.47030343335356	0.8600133505	0.47014847635357	0.8600224354	0.47013777035358	0.8603097004	0.46985541535359	0.8603387506	0.46981044436360	0.8604405198	0.46967766736361	0.8605219454	0.46957895036362	0.8606934	0.4693627073
363	0.860737861	0.4692998945
364	0.860843679	0.4691767673
365	0.860874859	0.4691116079
366	0.8608907158	0.469092937
367	0.8610059132	0.4688998111
368	0.8611745173	0.4686889026
369	0.8614256498	0.4684741093
370	0.8614775475	0.468421955
371	0.8616975278	0.4682081638
372	0.8617441228	0.4681615678
373	0.8619076987	0.4679614825
374	0.8621635647	0.4676874309
375	0.8622575348	0.4675612602
376	0.8622804302	0.4675337884
377	0.862451622	0.4673101895
378	0.8626028644	0.467110498
379	0.862741837	0.466979185
380	0.8629787968	0.4666928296
381	0.8630519776	0.4665990204
382	0.8633093922	0.4663022542
383	0.8634840834	0.4660748938
384	0.8635000875	0.4660378493
385	0.8635818436	0.465918861
386	0.8636990953	0.4657637441
387	0.8638885723	0.4655459916
388	0.8641886446	0.4652968028
389	0.8644796598	0.4649755431
390	0.864571098	0.4648213177
391	0.8647484685	0.4645844852
392	0.8649218299	0.4644400485
393	0.8652506777	0.4641269991
394	0.8653003261	0.4640272468
395	0.8655336272	0.463835006
396	0.8655958401	0.4637684624
397	0.8658110072	0.4636208469
398	0.8658343365	0.4635317256
399	0.8660141315	0.4633534408
4667965285
